Headers,,,,,
Test Date,12/14/2022,12/14/2022,
Test Time,3:39:07 PM,3:39:07 PM,
Test ID,Drop 4,Drop 4,
Test Description,7 ft| 50lb| 2in|7 ft| 50lb| 2in,
Sample Rate (Hz),10000,10000,
Hardware AA Filter (-3dB),2900,2900,
Data Channel Number,1,2,
ISO Channel Code,????????????????,????????????????,
Channel Description,ACC,Pressure,
Channel Location,NONE,NONE,
Sensor S/N,AC_64B-2000_A282153,PT_XTEL-190S-25D,
Software Filter (SAE Class),AdHoc(0),AdHoc(0),
Software Filter (-3dB),0,0,
Engineering Unit,g ,psi ,
User Comment,,,
Number of Pre-Zero Data Pts,5001,5001,
Number of Post-Zero Data Pts,25001,25001,
Data Zero (CNTS),-38,0,
Scale Factor (EU/CNT),-0.10130542099808,-0.00095384767677509,
Scale Factor (mV/CNT),-0.007659618742764,-0.00190769915934652,
Data Starts Here,,,,,
Time,Chan 0:AC_64B-2000_A282153,Chan 1:PT_XTEL-190S-25D,
-0.473800,1.316970,0.427324
-0.473700,1.519581,0.422555
-0.473600,1.316970,0.425416
-0.473500,1.519581,0.426370
-0.473400,1.316970,0.427324
-0.473300,1.418276,0.426370
-0.473200,1.722192,0.424462
-0.473100,1.620887,0.427324
-0.473000,1.519581,0.426370
-0.472900,1.519581,0.427324
-0.472800,1.620887,0.424462
-0.472700,1.722192,0.426370
-0.472600,1.722192,0.425416
-0.472500,1.519581,0.425416
-0.472400,1.722192,0.428278
-0.472300,1.722192,0.427324
-0.472200,1.823498,0.423508
-0.472100,1.722192,0.430185
-0.472000,1.114360,0.424462
-0.471900,1.823498,0.426370
-0.471800,1.620887,0.427324
-0.471700,1.722192,0.430185
-0.471600,1.823498,0.429231
-0.471500,1.620887,0.429231
-0.471400,1.620887,0.424462
-0.471300,1.418276,0.424462
-0.471200,1.519581,0.427324
-0.471100,1.519581,0.428278
-0.471000,1.215665,0.430185
-0.470900,1.722192,0.428278
-0.470800,1.316970,0.425416
-0.470700,1.215665,0.421601
-0.470600,1.215665,0.422555
-0.470500,1.519581,0.423508
-0.470400,1.519581,0.422555
-0.470300,1.620887,0.419693
-0.470200,1.418276,0.424462
-0.470100,1.722192,0.421601
-0.470000,1.823498,0.423508
-0.469900,1.722192,0.426370
-0.469800,1.823498,0.429231
-0.469700,1.215665,0.420647
